매출일자,이용카드,매출금액,부가세,봉사료,자원순환노매출종류,할부개월,가맹점명,사업자번호,청구일자,결제수단,카테고리
2024-07-23,M265,25029,0,0,0 일시불,0,쿠팡,762-21-43513,2024-08-07,카드,전통시장
2024-07-12,M265,19894,0,0,0 일시불,0,영화관 CGV,428-59-42816,2024-08-01,카드,전통시장
2024-10-11,M265,17876,0,0,0 일시불,0,SK주유소,998-41-99461,2024-11-08,카드,신용카드
2024-09-21,M265,2711,0,0,0 일시불,0,베스킨라빈스,188-37-70805,2024-10-02,카드,신용카드
2024-05-07,M265,11997,0,0,0 일시불,0,교보문고,149-10-25386,2024-06-10,카드,약국
2024-08-11,M265,31663,0,0,0 일시불,0,현금영수증_피트니스,189-76-57569,2024-09-02,카드,온라인쇼핑
2024-01-11,M265,7005,0,0,0 일시불,0,지하철,314-40-72277,2024-02-03,카드,신용카드
2024-12-24,M265,37255,0,0,0 일시불,0,GS25 편의점,874-80-64923,2025-01-10,카드,온라인쇼핑
2024-09-09,M265,8442,0,0,0 일시불,0,맥도날드,281-29-44843,2024-10-10,카드,주유
2024-03-17,M265,29747,0,0,0 일시불,0,현금영수증_병원,394-29-48661,2024-04-03,체크카드,직불/선불카드
2024-12-06,M265,33986,0,0,0 일시불,0,파리바게뜨,403-80-56579,2025-01-01,카드,카페
2024-05-26,M265,20632,0,0,0 일시불,0,맥도날드,490-28-76060,2024-06-03,카드,병원
2024-07-23,M265,14537,0,0,0 일시불,0,지하철,868-33-32431,2024-08-04,카드,대중교통
2024-04-27,M265,35229,0,0,0 일시불,0,베스킨라빈스,561-47-87282,2024-05-03,카드,온라인쇼핑
2024-09-17,M265,4322,0,0,0 일시불,0,베스킨라빈스,953-58-62012,2024-10-08,카드,주유
2024-11-19,M265,36330,0,0,0 일시불,0,교보문고,276-98-17278,2024-12-09,카드,대중교통
2024-09-14,M265,46500,0,0,0 일시불,0,스타벅스,366-52-54828,2024-10-05,카드,도서/신문
2024-12-14,M265,48200,0,0,0 일시불,0,맥도날드,383-47-93227,2025-01-08,카드,도서/신문
2024-09-07,M265,15319,0,0,0 일시불,0,현대서점,460-63-56256,2024-10-01,카드,대중교통
2024-02-20,M265,9348,0,0,0 일시불,0,현금영수증_피트니스,368-75-35413,2024-03-03,카드,전통시장
2024-07-10,M265,9513,0,0,0 일시불,0,전통시장 수산물,227-94-94378,2024-08-03,카드,약국
2024-07-08,M265,12578,0,0,0 일시불,0,GS25 편의점,995-42-39873,2024-08-02,카드,대중교통
2024-07-23,M265,26809,0,0,0 일시불,0,교보문고,266-53-82577,2024-08-07,카드,주유
2024-05-09,M265,40745,0,0,0 일시불,0,성남버스,135-94-43112,2024-06-06,카드,병원
2024-06-02,M265,19210,0,0,0 일시불,0,서울대학병원,533-14-12904,2024-07-07,카드,공연/영화
2024-08-18,M265,21454,0,0,0 일시불,0,베스킨라빈스,889-73-65999,2024-09-10,카드,신용카드
2024-09-05,M265,10914,0,0,0 일시불,0,온누리약국,828-77-50914,2024-10-03,체크카드,직불/선불카드
2024-06-16,M265,5279,0,0,0 일시불,0,현대서점,443-98-93829,2024-07-08,카드,신용카드
2024-08-17,M265,27043,0,0,0 일시불,0,파리바게뜨,280-33-18791,2024-09-04,카드,약국
2024-12-16,M265,36574,0,0,0 일시불,0,전통시장 수산물,385-36-76439,2025-01-08,카드,약국
2024-05-28,M265,21483,0,0,0 일시불,0,서울대학병원,980-16-11181,2024-06-07,카드,카페
2024-08-23,M265,30279,0,0,0 일시불,0,전통시장 김밥집,620-25-99378,2024-09-08,체크카드,직불/선불카드
2024-12-23,M265,47204,0,0,0 일시불,0,베스킨라빈스,476-60-46402,2025-01-09,카드,신용카드
2024-07-26,M265,15145,0,0,0 일시불,0,스타벅스,930-16-86791,2024-08-03,카드,카페
2024-12-11,M265,4418,0,0,0 일시불,0,지하철,443-80-58869,2025-01-04,카드,병원
2024-11-01,M265,36831,0,0,0 일시불,0,서울대학병원,493-86-35055,2024-12-09,카드,주유
2024-11-25,M265,36753,0,0,0 일시불,0,교보문고,512-84-82837,2024-12-08,카드,약국
2024-03-11,M265,35573,0,0,0 일시불,0,현대서점,267-40-74088,2024-04-01,카드,온라인쇼핑
2024-01-21,M265,14408,0,0,0 일시불,0,현대서점,427-43-75604,2024-02-04,카드,도서/신문
2024-09-26,M265,11212,0,0,0 일시불,0,베스킨라빈스,692-50-25161,2024-10-10,카드,온라인쇼핑
2024-01-17,M265,21935,0,0,0 일시불,0,맥도날드,688-97-76750,2024-02-10,카드,주유
2024-03-26,M265,29416,0,0,0 일시불,0,성남버스,600-56-72400,2024-04-05,카드,약국
2024-09-26,M265,24845,0,0,0 일시불,0,현대서점,126-93-35364,2024-10-10,카드,온라인쇼핑
2024-08-26,M265,16123,0,0,0 일시불,0,영화관 CGV,260-36-46795,2024-09-06,카드,공연/영화
2024-11-11,M265,33657,0,0,0 일시불,0,현금영수증_병원,892-25-32843,2024-12-04,현금영수증,현금영수증
2024-08-29,M265,21166,0,0,0 일시불,0,지하철,867-44-96197,2024-09-10,체크카드,직불/선불카드
2024-12-01,M265,38975,0,0,0 일시불,0,서울대학병원,595-39-40882,2025-01-05,카드,신용카드
2024-09-12,M265,6848,0,0,0 일시불,0,GS25 편의점,166-65-38929,2024-10-09,체크카드,직불/선불카드
2024-01-21,M265,39752,0,0,0 일시불,0,파리바게뜨,514-38-29910,2024-02-01,카드,신용카드
2024-04-01,M265,5761,0,0,0 일시불,0,카카오택시,548-40-44392,2024-05-08,카드,주유
2024-01-29,M265,3950,0,0,0 일시불,0,서울대학병원,115-60-53623,2024-02-01,카드,신용카드
2024-12-01,M265,36675,0,0,0 일시불,0,지하철,296-98-60606,2025-01-10,체크카드,직불/선불카드
2024-01-08,M265,32932,0,0,0 일시불,0,지하철,301-18-34454,2024-02-04,카드,카페
2024-06-30,M265,32560,0,0,0 일시불,0,성남버스,866-52-87178,2024-07-02,카드,공연/영화
2024-10-27,M265,10238,0,0,0 일시불,0,지하철,746-62-82333,2024-11-08,카드,도서/신문
2024-02-04,M265,29592,0,0,0 일시불,0,맥도날드,946-34-81650,2024-03-01,카드,카페
2024-11-11,M265,19783,0,0,0 일시불,0,이마트,969-69-73711,2024-12-07,카드,병원
2024-03-08,M265,39064,0,0,0 일시불,0,GS25 편의점,525-45-87603,2024-04-02,체크카드,직불/선불카드
2024-10-24,M265,41259,0,0,0 일시불,0,서울대학병원,981-43-50078,2024-11-05,카드,주유
2024-02-06,M265,20695,0,0,0 일시불,0,현금영수증_피트니스,337-83-57686,2024-03-09,카드,병원
2024-05-21,M265,20748,0,0,0 일시불,0,교보문고,654-18-21061,2024-06-04,카드,주유
2024-02-23,M265,34367,0,0,0 일시불,0,맥도날드,664-65-48998,2024-03-08,카드,주유
2024-12-22,M265,20042,0,0,0 일시불,0,현금영수증_병원,897-77-29258,2025-01-09,카드,약국
2024-01-06,M265,33239,0,0,0 일시불,0,스타벅스,757-68-37585,2024-02-01,카드,공연/영화
2024-10-28,M265,42211,0,0,0 일시불,0,파리바게뜨,458-89-59138,2024-11-10,카드,도서/신문
2024-09-04,M265,1433,0,0,0 일시불,0,GS25 편의점,672-25-19161,2024-10-05,카드,음식점
2024-11-18,M265,31136,0,0,0 일시불,0,현대서점,859-77-11067,2024-12-04,카드,주유
2024-12-11,M265,12515,0,0,0 일시불,0,쿠팡,565-24-35330,2025-01-04,카드,신용카드
2024-04-18,M265,37618,0,0,0 일시불,0,쿠팡,856-55-10394,2024-05-04,카드,주유
2024-03-21,M265,49138,0,0,0 일시불,0,지하철,143-87-90666,2024-04-01,카드,공연/영화
2024-04-15,M265,2444,0,0,0 일시불,0,교보문고,848-63-18881,2024-05-10,체크카드,직불/선불카드
2024-07-12,M265,15008,0,0,0 일시불,0,지하철,145-27-89768,2024-08-09,카드,음식점
2024-09-24,M265,6570,0,0,0 일시불,0,교보문고,478-38-69053,2024-10-10,체크카드,직불/선불카드
2024-12-07,M265,27296,0,0,0 일시불,0,성남버스,881-17-57598,2025-01-08,카드,병원
2024-02-06,M265,45640,0,0,0 일시불,0,SK주유소,201-90-93671,2024-03-09,카드,음식점
2024-01-24,M265,24346,0,0,0 일시불,0,지하철,432-13-64783,2024-02-07,카드,카페
